Symbol,Name,매출총이익(천원),EBIT(천원),수정EPS(원),수정BPS(원),총자산(천원),총자본(천원),매출총이익/총자산,영업이익(EBIT)/총자본,PER,PBR,Price
A033780,KT&G,2808215000.0,1167336000.0,6615.05,77799.61,12772452000.0,9294935000.0,0.219864987552899,0.1255883984126839,13.136710984799812,1.1169721801947337,86900
A096770,SK이노베이션,5014017964.0,1286847853.0,2645.99,226491.91,80835513251.0,30019967513.0,0.0620274154557678,0.0428663972551848,53.02363198651545,0.6194481736676599,140300
A034020,두산에너빌리티,3017001483.86,1467318338.13,86.8,11114.48,24640833945.62,10841508936.52,0.1224390980645475,0.1353426305066527,183.17972350230417,1.430566252312299,15900
A316140,우리금융지주,8742540000.0,3499029000.0,3388.86,42165.37,498004936000.0,33397490000.0,0.0175551272046026,0.1047692206809553,3.836098274936114,0.3083098760902608,13000
A017670,SK텔레콤,17608511000.0,1753204000.0,4997.47,53424.39,30119227000.0,12228399000.0,0.5846269228622634,0.1433715075865614,10.02507268677951,0.9377739268525106,50100
A259960,크래프톤,1910576180.28,768045608.97,12220.7,114849.22,6440456619.59,5558820261.03,0.2966522861855138,0.1381670161840577,15.841973045733877,1.6856884182583045,193600
A402340,SK스퀘어,2276508000.0,-287105000.0,-9136.99,110540.22,17970008000.0,15816517000.0,0.1266837499460211,-0.018152226561638,-5.756819258858771,0.4758449006162644,52600
A329180,HD현대중공업,654863515.0,178639965.0,278.08,58660.1,17133618109.0,5207440310.0,0.0382209706574474,0.0343047551897911,463.8952819332566,2.1991097867204457,129000
A009150,삼성전기,1720874328.91,639423737.12,5450.43,103019.89,11657871601.84,8030324975.44,0.1476147951945524,0.079626134568105,28.10787405764316,1.4870914733067566,153200
A196170,알테오젠,31198559.48,-9736838.48,-64.18,2819.47,256099994.58,147841734.33,0.121821788911652,-0.0658598772811081,-1534.746026799626,34.935643933079625,98500
A011200,HMM,974862000.0,584770000.0,1632.31,31114.61,25713363000.0,21440813000.0,0.0379126604326318,0.027273685937189,11.99527050621512,0.6292863706149618,19580
A450080,에코프로머티,35453384.89,8772772.41,85.32,11583.6,1104235205.79,799097396.19,0.0321067329714738,0.0109783518903046,2209.3295827473044,16.27300666459477,188500
A012450,한화에어로스페이스,2137801223.91,691114682.41,16146.75,69732.48,19542899925.7,4684225317.9,0.1093901740293247,0.1475408707965047,7.710529982813879,1.785394696990556,124500
A030200,KT,26376273000.0,1649774000.0,3886.63,66498.1,42709982000.0,18561137000.0,0.6175669425475291,0.0888832402885663,8.850855368275344,0.5173080133116584,34400
